"Rank","NCT Number","Title","Status","Study Results","Conditions","Interventions","Sponsor/Collaborators","Study Type","Locations","Study Documents","URL"
2321,"NCT04401293","Full Dose Heparin Vs. Prophylactic Or Intermediate Dose Heparin in High Risk COVID-19 Patients","Recruiting","No Results Available","Sars-CoV2|COVID","Drug: Enoxaparin|Drug: Prophylactic/Intermediate Dose Enoxaparin","Northwell Health","Interventional","Beth Israel Newark, Newark, New Jersey, United States|Southside Hospital, Bay Shore, New York, United States|Huntington Hospital, Huntington, New York, United States|Lenox Hill Hospital, New York, New York, United States|Long Island Jewish Medical Center, Queens, New York, United States|Staten Island University Hospital, Staten Island, New York, United States",,"https://ClinicalTrials.gov/show/NCT04401293"
2322,"NCT04573322","Safety and Efficacy of Trans Sodium Crocetinate (TSC) in SARS-CoV-2 (COVID-19) Infected Subjects","Recruiting","No Results Available","SARS-CoV-2 (Covid19)","Drug: Trans Sodium Crocetinate|Drug: Normal saline","Diffusion Pharmaceuticals Inc","Interventional","National Institute of Infectious Diseases- Prof. Dr. Matei Balş, Bucharest, Romania",,"https://ClinicalTrials.gov/show/NCT04573322"
2323,"NCT04596098","Immune Responses to COVID-19; Isolation of Neutralizing Antibodies for Therapeutics and Vaccine.","Recruiting","No Results Available","SARS-CoV 2","Other: Blood sampling","University Hospital, Grenoble|Commissariat A L'energie Atomique","Observational","UniversityGrenobleHospital, Grenoble, France",,"https://ClinicalTrials.gov/show/NCT04596098"
2324,"NCT04675086","Aralast NP With Antiviral Treatment and Standard of Care Versus Antiviral Treatment With Standard of Care in Hospitalized Patients With Pneumonia and COVID-19 Infection","Withdrawn","No Results Available","Covid19|Pneumonia, Viral","Drug: alpha1-proteinase inhibitor|Drug: Antiviral Agents","Blessing Corporate Services, Inc|Takeda Pharmaceuticals North America, Inc.","Interventional","Blessing Corporate Services, Inc, Hannibal, Missouri, United States",,"https://ClinicalTrials.gov/show/NCT04675086"
2325,"NCT04374149","Therapeutic Plasma Exchange Alone or in Combination With Ruxolitinib in COVID-19 Associated CRS","Active, not recruiting","No Results Available","Cytokine Release Syndrome|COVID19","Procedure: Therapeutic Plasma Exchange|Drug: Ruxolitinib","Prisma Health-Upstate","Interventional","Prisma Health, Greenville, South Carolina, United States",,"https://ClinicalTrials.gov/show/NCT04374149"
2326,"NCT04419610","RAS and Coagulopathy in COVID19","Recruiting","No Results Available","COVID","Biological: TRV027|Other: sodium chloride 0.9%","Imperial College London","Interventional","Imperial College NHS Trust, London, United Kingdom","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/10/NCT04419610/Prot_001.pdf","https://ClinicalTrials.gov/show/NCT04419610"
2327,"NCT04451317","Physical Activity Following the Containment Period Imposed by the COVID-19 Pandemic in Patients","Recruiting","No Results Available","Physical Activity|COVID-19","Other: Questionnaire, phone call","University Hospital, Toulouse","Observational","CHU Toulouse, Toulouse, France",,"https://ClinicalTrials.gov/show/NCT04451317"
2328,"NCT04390061","TOFAcitinib Plus Hydroxycloroquine vs Hydroxycloroquine in Patients With COVID-19 Interstitial Pneumonia","Not yet recruiting","No Results Available","Pneumonitis, Interstitial|COVID-19","Drug: Tofacitinib|Drug: Hydroxychloroquine","Università Politecnica delle Marche|Azienda Ospedaliera Ospedali Riuniti Marche Nord|Ospedale Civile Santo Spirito, Pescara|Università Magna Grecia, Catanzaro|ASST Papa Giovanni XXIII, Bergamo|Azienda Ospedaliero Universitaria Policlinico Umberto I, Roma|ASST Cremona, Cremona|Fondazione IRCCS Cà Granda, Ospedale Maggiore Policlinico, Milano|Ospedale di Circolo e Fondazione Macchi, Varese","Interventional",,,"https://ClinicalTrials.gov/show/NCT04390061"
2329,"NCT04344977","Collection of Anti-SARS-CoV-2 Immune Plasma","Active, not recruiting","No Results Available","Coronavirus Disease 2019 (COVID-19)",,"National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health Clinical Center (CC)","Observational","Lundquist Institute for Biomedical Innovation at Harbor - UCLA Medical Center, Torrance, California, United States|University of Miami Infectious Diseases Research Unit, Miami, Florida, United States|Bloodworks Northwest, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT04344977"
2330,"NCT04359329","Estrogen Patch for COVID-19 Symptoms","Recruiting","No Results Available","COVID","Drug: Estradiol patch","Sharon Nachman|Stony Brook University","Interventional","Stony Brook University Hospital, Stony Brook, New York, United States",,"https://ClinicalTrials.gov/show/NCT04359329"
2331,"NCT04422561","Prophylactic Ivermectin in COVID-19 Contacts","Completed","Has Results","COVID","Drug: Ivermectin Tablets","Zagazig University","Interventional","Zagazig University, Zagazig, Sharkia, Egypt","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/61/NCT04422561/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT04422561"
2332,"NCT04430322","Covid-19 at the Regional Medical Center Metz-Thionville: a Descriptive Study","Recruiting","No Results Available","COVID",,"Centre Hospitalier Régional Metz-Thionville","Observational","CHR Metz Thionville, Metz, France",,"https://ClinicalTrials.gov/show/NCT04430322"
2333,"NCT04437940","Evaluation of Vaginal Fluid for Covid-19 Positivity in Women With Positive Nasofarengeal Covid-19 Test","Completed","No Results Available","COVID|Sars-CoV2","Diagnostic Test: Vaginal fluid Covid-19 PCR test","Acibadem University","Observational","Acibadem Maslak Hospital, Istanbul, Turkey",,"https://ClinicalTrials.gov/show/NCT04437940"
2334,"NCT04507256","AZD7442 - a Potential Combination Therapy for the Prevention and Treatment of COVID-19","Active, not recruiting","No Results Available","COVID-19","Combination Product: AZD7442|Other: Placebo","AstraZeneca|Parexel","Interventional","Research Site, Harrow, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04507256"
2335,"NCT04405726","Prognostic Factors of COVID19","Recruiting","No Results Available","SARS-CoV-2",,"University Hospital, Strasbourg, France","Observational","Service de Virologie - Hôpital Civil, Strasbourg, France",,"https://ClinicalTrials.gov/show/NCT04405726"
2336,"NCT04640233","Clinical Trial to Assess Safety and Immunogenicity of Gam-COVID-Vac Combined Vector Vaccine for Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-Сov-2) Infection","Recruiting","No Results Available","COVID-19 Prevention","Biological: Gam-COVID-Vac|Other: Placebo","Dr. Reddy's Laboratories Limited|Gamaleya Research Institute of Epidemiology and Microbiology, Health Ministry of the Russian Federation|RDIF (Russian Direct Investment Fund)|CRO: JSS Medical Research India Pvt. Ltd.","Interventional","S N Medical College, Agra, India|MGM Medical College and Hospital, Aurangabad, India|KLE Prabhakar Kore Hospital, Belgaum, India|Apollo Hospital, Delhi, India|Batra Hospital, Delhi, India|HIMSR with CHRD-SAS, Delhi, India|ESIC Medical College & Hospital, Faridabad, India|AIG hospital, Hyderabad, India|Maharaja Agrasen Superspecialty Hospital, Jaipur, India|GSVM Medical College, Kanpur, India|Peerless Hospital, Kolkata, India|Atharva Hospital, Lucknow, India|St. George's Hospital, Mumbai, India|JSS Hospital, Mysore, India|INCLEN trust and Gurunanak Hospital, Palwal, India|PIMS, Puducherry, India|BJ Sassoon Hospital, Pune, India|KEM Hospital, Pune, India|Noble Hospital Private Limited, Pune, India|BAPS hospital, Sūrat, India|Rhythm Heart Institute, Vadodara, India|Sumandeep Vidyapeeth, Vadodara, India|Christian Medical College, Vellore, India",,"https://ClinicalTrials.gov/show/NCT04640233"
2337,"NCT04535791","Efficacy of Vitamin D Supplementation to Prevent the Risk of Acquiring COVID-19 in Healthcare Workers","Recruiting","No Results Available","Covid19|Vitamin D","Drug: Cholecalciferol","Coordinación de Investigación en Salud, Mexico|Hospital Infantil de Mexico Federico Gomez","Interventional","Hospital Centro Medico Nacional Siglo XXI, Mexico City, Distrito Federal, Mexico",,"https://ClinicalTrials.gov/show/NCT04535791"
2338,"NCT04416438","COVID-19 Epidemic and Patients With Myeloproliferative Neoplasias","Recruiting","No Results Available","Myeloproliferative Neoplasm|COVID-19 Infection",,"French Innovative Leukemia Organisation|French Intergroup of Myeloproliferative syndromes","Observational","Paris Saint Louis, Paris, France",,"https://ClinicalTrials.gov/show/NCT04416438"
2339,"NCT04389294","HSS Covid-19 Antibody Serology Among Surgeons & Anesthesiologists","Completed","No Results Available","COVID","Diagnostic Test: SARS-CoV2 serum antibody testing","Hospital for Special Surgery, New York","Interventional","Hospital for Special Surgery, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04389294"
2340,"NCT04403555","Ivermectin as a Novel Therapy in COVID-19 Treatment","Recruiting","No Results Available","COVID","Drug: Ivermectin","Tanta University","Interventional","Sherief Abd-Elsalam, Tanta, Egypt",,"https://ClinicalTrials.gov/show/NCT04403555"
2341,"NCT03376854","Pilot RCT of Therapeutic Hypothermia Plus Neuromuscular Blockade in COVID-19 Patients With ARDS","Recruiting","No Results Available","Respiratory Distress Syndrome, Adult|Sars-CoV2","Device: Hypothermia|Drug: Neuromuscular Blocking Agents|Device: Standard of Care","University of Maryland, Baltimore","Interventional","University of Maryland Medical Center, Baltimore, Maryland, United States","""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/54/NCT03376854/ICF_011.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/54/NCT03376854/SAP_012.pdf|""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/54/NCT03376854/Prot_013.pdf","https://ClinicalTrials.gov/show/NCT03376854"
2342,"NCT04447222","Impact of the COVID-19 Pandemic and HRQOL in Cancer Patients and Survivors","Recruiting","No Results Available","COVID-19 Infection|Malignant Solid Neoplasm","Other: Quality-of-Life Assessment|Other: Questionnaire Administration|Other: Survey Administration","M.D. Anderson Cancer Center|National Cancer Institute (NCI)","Observational","M D Anderson Cancer Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04447222"
2343,"NCT04401085","COVID-19: Herd Immunity Study in the Czech Republic","Completed","No Results Available","COVID|SARS-CoV 2","Diagnostic Test: SARS-CoV-2 diagnostic rapid test|Diagnostic Test: Quantitative analysis of SARS-CoV-2 antibodies","Institute of Health Information and Statistics of the Czech Republic|Ministry of Health, Czech Republic|Faculty of Medicine, Palacky University|Faculty of Medicine, Masaryk University|Faculty of medicine, University of Ostrava|Faculty of Military Health Sciences, University of Defence in Brno|Faculty of Health Studies, J. E. Purkyně University in Ústí nad Labem|First Faculty of Medicine, Charles University, Czech Republic|Institute for Clinical and Experimental Medicine|General University Hospital, Prague|University Hospital Olomouc|Brno University Hospital|Krajská zdravotní, a.s., Ústí nad Labem Region Hospitals|Military University Hospital, Prague|Masaryk Memorial Cancer Institute|Institute Of Sociology, Czech Academy of Sciences|Czech Statistical Office|Faculty of Medicine in Hradec Králové, Charles University","Observational","Institute of Health Information and Statistics of the Czech Republic, Prague, Czechia",,"https://ClinicalTrials.gov/show/NCT04401085"
2344,"NCT04351295","Efficacy of Faviprevir in COVID-19 Treatment","Recruiting","No Results Available","COVID","Drug: Favipiravir|Drug: Placebos","Tanta University","Interventional","Tanta University, Ainshams University, Tanta, Egypt",,"https://ClinicalTrials.gov/show/NCT04351295"
2345,"NCT04563676","Physiopathology and Sequelae of COVID-19 Infection","Recruiting","No Results Available","Covid19|TSH|Cortisol","Biological: blood test","Centre Hospitalier Universitaire, Amiens","Interventional","CHU Amiens, Amiens, France",,"https://ClinicalTrials.gov/show/NCT04563676"
2346,"NCT04420637","Impact of the Covid-19 Pandemic on Gastrointestinal and Liver Diseases","Enrolling by invitation","No Results Available","COVID",,"Medical University of Graz","Observational","Department of Internal Medicine, Medical University of Graz, Graz, Austria",,"https://ClinicalTrials.gov/show/NCT04420637"
2347,"NCT04387240","Evaluating the Efficacy of Artesunate in Adults With Mild Symptoms of COVID-19","Not yet recruiting","No Results Available","Covid 19 Positive|Corona Virus Infection","Drug: Artemisinin / Artesunate|Other: placebo","Princess Nourah Bint Abdulrahman University","Interventional","Princess Nourah Bint Abdulrahman Univeristy, Riyadh, Central, Saudi Arabia",,"https://ClinicalTrials.gov/show/NCT04387240"
2348,"NCT04383652","Collection of Coronavirus COVID-19 Outbreak Samples in New South Wales","Recruiting","No Results Available","COVID","Other: Biological sample and clinical data collection","Kirby Institute","Observational","NSW Health Pathology, Randwick, New South Wales, Australia|Prince of Wales Hospital, Randwick, New South Wales, Australia|Sydney Children's Hospital, Randwick, New South Wales, Australia|Blacktown Hospital, Blacktown, Australia|Royal Prince Alfred Hospital, Camperdown, Australia|St Vincent's Hospital, Darlinghurst, Australia|Northern Beaches Hospital, Frenchs Forest, Australia|Royal North Shore Hospital, Saint Leonards, Australia|Westmead Hospital, Westmead, Australia",,"https://ClinicalTrials.gov/show/NCT04383652"
2349,"NCT04370249","Construction of a Composite Clinical-echo Score Predictive of a Risk of Short-term Aggravation of Respiratory Impairment in Patients Suspected of Covid-19","Completed","No Results Available","Acute Respiratory Distress Syndrome|COVID-19","Other: pulmonary ultrasound","Nantes University Hospital|WINFOCUS-France","Observational","Chu de Nantes, Nantes, France",,"https://ClinicalTrials.gov/show/NCT04370249"
2350,"NCT04425720","Use of Remote Monitoring for COVID-19 Patient","Recruiting","No Results Available","COVID","Device: LifeSignals Biosensor 1AX*|Other: Standard of Care","Montefiore Medical Center","Interventional","Montefiore Medical Center, Bronx, New York, United States",,"https://ClinicalTrials.gov/show/NCT04425720"
2351,"NCT04383587","Seroprevalence of SARS CoV 2 Antibodies in Previously Undiagnosed Healthcare Workers","Completed","No Results Available","SARS-CoV 2|COVID-19","Other: Serologic testing","Mayo Clinic","Interventional","Mayo Clinic in Florida, Jacksonville, Florida, United States",,"https://ClinicalTrials.gov/show/NCT04383587"
2352,"NCT04363671","Adolescents and Health Professionals Faced With the Necessity for Changing to Remote Care During the COVID-19 Outbreak Quarantine (AdoPro-Cov19)","Not yet recruiting","No Results Available","Remote Consultation|Covid-19",,"Hôpital Cochin|Institut National de la Santé Et de la Recherche Médicale, France","Observational","Maison de Solenn, Cochin Hospital, Paris, France",,"https://ClinicalTrials.gov/show/NCT04363671"
